Latitude,Longitude,Depth/Km,Magnitude,Magnitude Category
42.6887,13.166,10.2,3.1,Low
42.6517,13.2262,10.5,2.7,Low
42.7035,13.1647,10.3,2.1,Low
42.7757,13.1663,10.0,3.1,Low
42.7712,13.1808,9.5,2.5,Low
42.8002,13.2622,8.5,2.3,Low
42.7898,13.1903,8.9,2.8,Low
42.7407,13.2562,9.9,2.0,Low
42.6502,13.2383,10.6,2.8,Low
42.646,13.2422,12.2,2.5,Low
42.8012,13.2107,8.8,2.8,Low
42.605,13.2357,12.4,2.0,Low
42.6257,13.309,9.0,2.0,Low
42.8255,13.1512,9.9,2.0,Low
42.7897,13.2163,7.8,2.7,Low
42.7968,13.2402,6.3,2.3,Low
42.749,13.1752,10.3,2.4,Low
42.6858,13.2227,10.0,2.3,Low
42.7273,13.2193,10.0,2.1,Low
42.6512,13.3003,7.8,2.4,Low
42.7757,13.1608,8.2,2.7,Low
42.785,13.2188,10.3,2.7,Low
42.6277,13.2982,7.9,2.0,Low
42.8132,13.1895,8.2,2.1,Low
42.7808,13.1477,8.7,3.3,Low
42.7753,13.2518,7.6,2.5,Low
42.6537,13.2163,11.3,2.2,Low
42.7778,13.1855,9.3,2.8,Low
42.7542,13.1867,9.9,2.4,Low
42.6163,13.2908,9.9,2.2,Low
42.7888,13.1532,11.4,2.3,Low
42.7587,13.1047,8.4,2.9,Low
42.6485,13.2955,5.6,2.4,Low
42.7577,13.0885,10.7,2.0,Low
42.6725,13.1917,9.6,2.0,Low
42.6053,13.2318,18.0,2.2,Low
42.8038,13.1722,10.1,3.1,Low
42.6597,13.2137,10.7,2.3,Low
42.8057,13.1877,9.3,2.1,Low
42.6415,13.3043,11.1,2.1,Low
42.6643,13.2998,0.7,2.2,Low
42.8368,13.1493,8.6,2.0,Low
42.6588,13.2812,10.7,2.1,Low
42.7923,13.2028,9.6,2.5,Low
42.7935,13.1687,10.2,2.1,Low
42.7422,13.178,10.8,2.2,Low
42.7807,13.1297,10.6,2.0,Low
42.7027,13.2243,10.7,2.2,Low
42.7288,13.2393,10.8,2.7,Low
42.7405,13.2337,8.9,2.3,Low
42.813,13.1973,9.2,2.0,Low
42.7533,13.2353,7.5,2.1,Low
42.7325,13.2442,10.4,2.4,Low
42.8,13.2522,8.4,2.0,Low
42.6535,13.2098,11.8,4.0,Low
42.7505,13.2323,9.4,3.4,Low
42.6017,13.231,15.9,2.5,Low
42.6503,13.2212,10.4,2.5,Low
42.6638,13.226,5.8,2.9,Low
42.563,13.2658,13.5,2.2,Low
42.8287,13.2512,7.9,2.7,Low
42.8458,13.2387,8.9,2.0,Low
42.6933,13.2727,10.6,2.1,Low
42.7628,13.1497,10.7,2.1,Low
42.4902,13.2318,10.4,2.3,Low
42.6063,13.3035,11.1,2.9,Low
42.7538,13.1092,7.6,2.5,Low
42.6202,13.2968,7.8,2.6,Low
42.7208,13.2077,10.4,2.1,Low
42.8473,13.2627,9.7,2.4,Low
42.6413,13.2127,10.1,2.7,Low
42.5353,13.2313,9.4,2.1,Low
42.661,13.2563,8.3,2.4,Low
42.6187,13.2667,10.6,2.1,Low
42.7668,13.191,11.2,2.4,Low
42.8077,13.2048,9.3,2.0,Low
42.9918,13.2743,29.0,2.3,Low
42.7545,13.1942,9.6,2.0,Low
42.5995,13.2158,15.9,2.0,Low
42.7505,13.1995,9.6,2.5,Low
42.8068,13.1557,9.1,2.2,Low
42.6298,13.2463,15.2,2.0,Low
42.7407,13.1847,9.9,2.0,Low
42.8063,13.1493,8.8,2.7,Low
42.8085,13.1547,9.6,2.7,Low
42.7962,13.1515,8.6,2.2,Low
42.8053,13.1393,9.4,2.0,Low
42.7577,13.1872,9.7,2.3,Low
42.7533,13.1917,9.3,2.1,Low
42.7512,13.2057,9.9,2.1,Low
42.6517,13.2992,7.1,2.0,Low
42.7078,13.2368,9.3,2.0,Low
42.962,13.1595,9.3,2.7,Low
42.8392,13.2097,8.5,2.7,Low
42.8068,13.195,9.9,2.0,Low
42.7292,13.2053,9.1,2.0,Low
42.82,13.2247,9.7,2.1,Low
42.6412,13.3382,4.0,2.0,Low
42.6113,13.3078,10.0,2.1,Low
42.7632,13.116,8.3,2.7,Low
42.6422,13.3068,9.6,2.5,Low
42.8007,13.1428,10.6,2.1,Low
42.8312,13.1538,9.7,2.6,Low
42.8112,13.154000000000002,9.3,2.4,Low
42.7452,13.1927,9.0,4.3,Moderate
42.7545,13.1998,9.9,2.3,Low
42.7628,13.2047,9.8,2.2,Low
42.8415,13.255,8.6,2.1,Low
42.7372,13.2188,10.2,2.2,Low
42.8625,13.0177,10.6,2.6,Low
42.7913,13.1517,9.4,2.2,Low
42.7563,13.1747,10.5,2.0,Low
42.7677,13.1682,10.4,2.2,Low
42.7918,13.2328,9.2,2.3,Low
42.7648,13.1838,10.2,2.3,Low
42.7568,13.1955,9.5,2.1,Low
42.7105,13.2268,9.0,2.1,Low
42.7357,13.1973,10.1,2.1,Low
42.753,13.1983,8.9,2.1,Low
42.8257,13.2453,9.3,2.0,Low
42.7525,13.1817,10.2,2.1,Low
42.7608,13.2025,9.8,2.0,Low
42.7332,13.1993,9.7,2.3,Low
42.5778,13.2388,10.6,2.2,Low
42.6913,13.2343,10.2,3.3,Low
42.6148,13.2938,6.8,2.9,Low
42.6832,13.2578,10.9,2.0,Low
42.7638,13.2268,10.3,2.2,Low
42.7412,13.2033,10.2,2.0,Low
42.8452,13.220999999999998,8.6,2.4,Low
42.7953,13.2033,9.0,2.6,Low
42.7603,13.2062,9.5,2.5,Low
42.6323,13.3263,8.2,3.8,Low
42.812,13.2123,8.4,2.8,Low
42.7845,13.1753,6.3,2.9,Low
42.7905,13.2153,7.9,2.9,Low
42.7892,13.2075,9.4,2.1,Low
42.7917,13.216,9.5,2.4,Low
42.6277,13.2372,10.9,2.3,Low
42.6197,13.2258,10.4,2.2,Low
42.8027,13.1437,10.3,2.1,Low
42.6158,13.2768,11.5,2.6,Low
42.7453,13.2217,9.0,2.1,Low
42.6218,13.2183,9.9,2.7,Low
42.7592,13.2278,9.9,2.3,Low
42.6188,13.3012,8.3,2.2,Low
42.8742,13.2278,8.1,2.7,Low
42.6213,13.2533,10.3,2.2,Low
42.7488,13.2178,9.9,2.6,Low
42.6227,13.3152,12.3,2.5,Low
42.7557,13.196,10.7,2.5,Low
42.782,13.2098,10.5,2.2,Low
42.6192,13.2292,11.4,2.3,Low
42.6532,13.2873,6.7,2.7,Low
42.8352,13.2547,8.4,2.8,Low
42.7388,13.2305,10.2,2.3,Low
42.7393,13.2198,10.4,2.6,Low
42.8068,13.226,7.4,2.0,Low
42.6192,13.2902,7.8,2.0,Low
42.7458,13.2307,10.3,2.1,Low
42.6137,13.3032,6.9,3.2,Low
42.6612,13.2633,14.5,2.3,Low
42.6938,13.3038,10.1,2.0,Low
42.6125,13.2362,10.8,2.5,Low
42.7757,13.108,6.7,2.2,Low
42.7982,13.1757,9.8,2.0,Low
42.6982,13.2355,10.6,2.1,Low
42.6528,13.2943,7.8,2.3,Low
42.7613,13.2593,8.5,2.3,Low
42.7405,13.1342,9.7,2.5,Low
42.6657,13.2622,9.9,2.3,Low
42.6117,13.2618,11.5,2.4,Low
42.6072,13.3067,8.2,2.5,Low
42.7575,13.2023,9.9,2.5,Low
42.6348,13.2092,13.7,2.2,Low
42.6397,13.2217,10.9,2.1,Low
42.8072,13.1563,10.1,2.1,Low
